Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(borderColor3),Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.000s,PASSED
println(checkBorderColor3),Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.002s,PASSED
println(failedLogin3),Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.001s,PASSED
println(errorMessage3),Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.001s,PASSED
"if (checkBorderColor3 == ""true"" && failedLogin3.contains(""https://www.facebook.com/login/device-based/regular/login/?login_attempt="") && errorMessage3 == ""The email address or mobile number you entered isn't connected to an account. Create a new Facebook account."")",Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), email)",Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:03,0.711s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:30:03,2024-09-05 23:30:03,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:30:03,2024-09-05 23:30:36,32.839s,PASSED
failedLogin4 = getUrl(),Firefox 129.0,,,2024-09-05 23:30:36,2024-09-05 23:30:36,0.017s,PASSED
"errorMessage4 = getText(findTestObject(""Object Repository/Page_1725545881244/errorMessage""))",Firefox 129.0,,,2024-09-05 23:30:36,2024-09-05 23:30:37,0.435s,PASSED
"borderColor4 = getCSSValue(findTestObject(""Object Repository/Page_1725545881244/borderEmail""), ""border-bottom-color"")",Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.398s,PASSED
"checkBorderColor4 = verifyEqual(borderColor, ""rgb(240, 40, 73)"")",Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.004s,PASSED
println(borderColor4),Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.000s,PASSED
println(checkBorderColor4),Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.001s,PASSED
println(failedLogin4),Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.002s,PASSED
println(errorMessage4),Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:37,0.001s,PASSED
"if (checkBorderColor4 == ""true"" && failedLogin4.contains(""https://www.facebook.com/login/device-based/regular/login/?login_attempt="") && errorMessage4 == ""The email address or mobile number you entered isn't connected to an account. Create a new Facebook account."")",Firefox 129.0,,,2024-09-05 23:30:37,2024-09-05 23:30:39,1.825s,PASSED
,,,,,,,
Test Cases/Web Facebook/LoginPageSetelahUserSuccessLogin,Firefox 129.0,,,2024-09-05 23:30:39,2024-09-05 23:32:48,2m - 9.236s,PASSED
"openBrowser("""")",Firefox 129.0,,,2024-09-05 23:30:40,2024-09-05 23:30:49,9.368s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Firefox 129.0,,,2024-09-05 23:30:49,2024-09-05 23:30:53,3.322s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), email)",Firefox 129.0,,,2024-09-05 23:30:53,2024-09-05 23:30:54,1.515s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:30:54,2024-09-05 23:30:55,0.554s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:30:55,2024-09-05 23:31:33,38.423s,PASSED
successLogin = getUrl(),Firefox 129.0,,,2024-09-05 23:31:33,2024-09-05 23:31:33,0.012s,PASSED
"username = getText(findTestObject(""Object Repository/Page_(20) Facebook/username""))",Firefox 129.0,,,2024-09-05 23:31:33,2024-09-05 23:31:38,5.250s,PASSED
println(successLogin),Firefox 129.0,,,2024-09-05 23:31:38,2024-09-05 23:31:38,0.002s,PASSED
println(username),Firefox 129.0,,,2024-09-05 23:31:38,2024-09-05 23:31:38,0.001s,PASSED
"if (successLogin == ""https://www.facebook.com/"" && username == ""Rahma Nisa Z E"")",Firefox 129.0,,,2024-09-05 23:31:38,2024-09-05 23:31:38,0.003s,PASSED
"click(findTestObject(""Object Repository/Page_(20) Facebook/menuFacebook""))",Firefox 129.0,,,2024-09-05 23:31:38,2024-09-05 23:32:11,32.210s,PASSED
"click(findTestObject(""Object Repository/Page_(20) Facebook/div_Keluar""))",Firefox 129.0,,,2024-09-05 23:32:11,2024-09-05 23:32:44,33.769s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Facebook  log in or sign up/tooltip""), 20)",Firefox 129.0,,,2024-09-05 23:32:44,2024-09-05 23:32:45,0.485s,PASSED
